,subject,relation,object
5,Thomas Edison,Burial place,Thomas Edison National Historical Park 
10,Ahmed Zewail,Almamater, (Ph.D.)
12,Stephen Hawking,Spouse(s), Jane Wilde
55,Albert Einstein,Awards,  Gold Medal of the Royal Astronomical Society (1926)
10,Nikola Tesla,Discipline,Electrical engineering 
26,Stephen Hawking,Fields,General relativity quantum gravity 
0,Nikola Tesla,date of death,01/07/1943
86,Albert Einstein,Influences, Baruch Spinoza
22,Ahmed Zewail,Awards, Wolf Prize (Chemistry) (1993)
5,Ahmed Zewail,Nationality, Egyptian 
1,Thomas Edison,place of death,"  1931 (1931-10-18) (aged84) , West Orange,  New Jersey ,  U.S. "
75,Albert Einstein,Institutions, Institute for Advanced Study (19331955)
30,Thomas Edison,known for, War of the currents 
18,Nikola Tesla,Significant design, AC motor
20,Nikola Tesla,Significant design, Death ray
39,Thomas Edison,parent of ,6
7,Nikola Tesla,country of citizenship,"Austrian, American"
13,Mohamed Salah,20052006,Othmason Tanta
79,Isaac Newton,Succeeded by,William Whiston 
34,Albert Einstein,known for, Ensemble interpretation
4,Mohamed Salah,Place of birth,  Egypt
22,Albert Einstein,known for, Special relativity
25,Thomas Edison,known for, Nickeliron battery 
23,Isaac Newton,known for, Newton-Gauss line
23,Nikola Tesla,Significant design, Plasma lamp
42,Isaac Newton,Influences, Kepler
46,Albert Einstein,parent of , Lieserl Einstein
13,Ahmed Zewail,Awards, King Faisal International Prize (Saudi Arabia) (1989)
57,Isaac Newton,Influenced, Maxwell
36,Stephen Hawking,Doctoral students, Bruce Allen
29,Albert Einstein,known for, BoseEinstein condensate
24,Albert Einstein,known for, Emc 2 (Massenergy equivalence)
89,Albert Einstein,Influences, Ernst Mach
21,Isaac Newton,known for, Newton's metal
34,Thomas Edison,Spouse(s), 1871  d.
45,Stephen Hawking,Doctoral students,  Raymond Laflamme
69,Isaac Newton,Influenced, Keynes
28,Isaac Newton,Awards,FRS (1672)
52,Nikola Tesla,Awards, Edison Medal (1917)
19,Isaac Newton,known for,  Newton's Law of Cooling
66,Albert Einstein,Institutions, ETH Zurich (19121914)
66,Isaac Newton,Influenced, Hume
39,Isaac Newton,Influences, Galileo
26,Ahmed Zewail,Awards, Priestley Medal (2011)
31,Stephen Hawking,Doctoral advisor,Dennis W. Sciama
84,Albert Einstein,Otheracademic advisors,Heinrich Friedrich Weber 
10,Mohamed Salah,Number,11 
14,Nikola Tesla,Projects,  high-frequency power experiments
12,Thomas Edison,known for, Edison light bulb 
44,Isaac Newton,Influences,  Street
94,Albert Einstein,Influences, Michele Besso
48,Albert Einstein,parent of ," Eduard ""Tete"" Einstein"
21,Thomas Edison,known for, Fluoroscopy 
24,Stephen Hawking,Awards, Adams Prize (1966) Eddington Medal (1975) Maxwell Medal and Prize (1976) Heineman Prize (1976) Hughes Medal (1976) Albert Einstein Award (1978) Albert Einstein Medal (1979) RAS Gold Medal (1985) Dirac Medal (1987) Wolf Prize (1988) Prince of Asturias Award (1989) Foreign Associate of the National Academy of Sciences (1992) Andrew Gemant Award (1998) Naylor Prize and Lectureship (1999) Lilienfeld Prize (1999) Albert Medal (1999) Copley Medal (2006) Presidential Medal of Freedom (2009) Breakthrough Prize in Fundamental Physics (2012) BBVA Foundation Frontiers of Knowledge Award (2015)
21,Albert Einstein,known for, General relativity
37,Nikola Tesla,Significant design,  Vacuum variable capacitor
73,Albert Einstein,Institutions, Leiden University (visits
6,Thomas Edison,Nationality,American 
58,Albert Einstein,Awards,  Time Person of the Century (1999)
36,Isaac Newton,Influences, Aristotle
64,Isaac Newton,Influenced, Diderot
5,Stephen Hawking,education,"University College ,  Oxford (BA) Trinity Hall ,  Cambridge (PhD) "
21,Nikola Tesla,Significant design, Induction motor
25,Mohamed Salah,20112012, Egypt U23 
31,Albert Einstein,known for, Cosmological constant
81,Albert Einstein,Thesis,Eine neue Bestimmung der Molekldimensionen (A New Determination of Molecular Dimensions)
3,Ali Moustafa Mosharafa,Institutions,Cairo University 
35,Stephen Hawking,Doctoral students, See list
12,Nikola Tesla,Projects, Alternating current
11,Isaac Newton,known for, Newtonian mechanics
44,Stephen Hawking,Doctoral students, Thomas Hertog
76,Albert Einstein,Institutions, Caltech (visits
2,Ali Moustafa Mosharafa,Fields,Physics 
70,Albert Einstein,Institutions,  19171933)
17,Mohamed Salah,20102012, Al Mokawloon 
25,Nikola Tesla,Significant design, Radio control
37,Stephen Hawking,Doctoral students,  Raphael Bousso
30,Ahmed Zewail,Fields, Physics
19,Stephen Hawking,Spouse(s), 1995  div. 2007) 
60,Albert Einstein,Fields,Physics 
51,Nikola Tesla,Awards, Order of Prince Danilo I (1895)
19,Thomas Edison,known for, Carbon microphone 
31,Thomas Edison,Spouse(s),Mary Stilwell
28,Thomas Edison,known for, Quadruplex telegraph 
0,Albert Einstein,date of death,04/18/1955
34,Isaac Newton,Academic advisors,  
64,Nikola Tesla,Awards, University of Paris Medal (1937)
35,Nikola Tesla,Significant design, Tesla valve
26,Albert Einstein,known for, Theory of Brownian motion
